time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,asset_pair
2022-05-05,2022-05-06T00:00:00.0000000Z,2022-05-05T00:00:00.0000000Z,2022-05-05T23:59:59.9980000Z,39690.0,39845.51,35571.9,36552.97,88718.60966999998,1979536,BINANCE_SPOT_BTC_USDT
2022-05-06,2022-05-07T00:00:00.0000000Z,2022-05-06T00:00:00.0010000Z,2022-05-06T23:59:59.9970000Z,36552.97,36675.63,35258.0,36013.77,68437.80187,1214518,BINANCE_SPOT_BTC_USDT
2022-05-07,2022-05-08T00:00:00.0000000Z,2022-05-07T00:00:00.0000000Z,2022-05-07T23:59:59.9990000Z,36013.77,36146.3,34785.0,35472.39,34273.64016,746310,BINANCE_SPOT_BTC_USDT
2022-05-08,2022-05-09T00:00:00.0000000Z,2022-05-08T00:00:00.0000000Z,2022-05-08T23:59:59.9980000Z,35472.4,35514.22,33713.95,34038.4,72445.64343999999,1301451,BINANCE_SPOT_BTC_USDT
2022-05-09,2022-05-10T00:00:00.0000000Z,2022-05-09T00:00:00.0070000Z,2022-05-09T23:59:59.9990000Z,34038.39,34243.15,30033.33,30076.31,191876.92642800004,2564538,BINANCE_SPOT_BTC_USDT
2022-05-10,2022-05-11T00:00:00.0000000Z,2022-05-10T00:00:00.0000000Z,2022-05-10T23:59:59.9980000Z,30074.23,32658.99,29730.4,31017.1,165417.98393,2469038,BINANCE_SPOT_BTC_USDT
2022-05-11,2022-05-12T00:00:00.0000000Z,2022-05-11T00:00:00.0040000Z,2022-05-11T23:59:59.9990000Z,31017.11,32162.59,27785.0,29103.94,207063.739278,3559270,BINANCE_SPOT_BTC_USDT
2022-05-12,2022-05-13T00:00:00.0000000Z,2022-05-12T00:00:00.0010000Z,2022-05-12T23:59:59.9990000Z,29103.94,30243.0,26700.0,29029.75,204507.263138,3951233,BINANCE_SPOT_BTC_USDT
2022-05-13,2022-05-14T00:00:00.0000000Z,2022-05-13T00:00:00.0000000Z,2022-05-13T23:59:59.9990000Z,29029.74,31083.37,28751.67,29287.05,97842.73733,2050829,BINANCE_SPOT_BTC_USDT
2022-05-14,2022-05-15T00:00:00.0000000Z,2022-05-14T00:00:00.0000000Z,2022-05-14T23:59:59.9950000Z,29287.05,30343.27,28630.0,30086.74,51095.87863,1204626,BINANCE_SPOT_BTC_USDT
2022-05-15,2022-05-16T00:00:00.0000000Z,2022-05-15T00:00:00.0030000Z,2022-05-15T23:59:59.9980000Z,30086.74,31460.0,29480.0,31328.89,46275.66912000001,1016769,BINANCE_SPOT_BTC_USDT
2022-05-16,2022-05-17T00:00:00.0000000Z,2022-05-16T00:00:00.0000000Z,2022-05-16T23:59:59.9990000Z,31328.89,31328.9,29087.04,29874.01,73082.19657999999,1561954,BINANCE_SPOT_BTC_USDT
2022-05-17,2022-05-18T00:00:00.0000000Z,2022-05-17T00:00:00.0000000Z,2022-05-17T23:59:59.9980000Z,29874.01,30788.37,29450.38,30444.93,56721.21888000001,1175232,BINANCE_SPOT_BTC_USDT
2022-05-18,2022-05-19T00:00:00.0000000Z,2022-05-18T00:00:00.0000000Z,2022-05-18T23:59:59.9990000Z,30444.93,30709.99,28654.47,28715.32,59749.15799000001,1379212,BINANCE_SPOT_BTC_USDT
